0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-71,-70,-73,-73,-68,-67,-67,-69,-70,-69,-72,-73,-73,-70,-72,-70,-70,-72,-69,-69,-69,-71,-64,-69,-74,-67,0,0,0,-67,0,-68,0,-69,-73,-73,-72,0,-73,0,-71,-68,0,0,-71,-72,-71,-72,-71,-72,0.68,2.59
-71,-71,-73,0,0,-74,0,0,-74,-73,0,-74,-73,0,0,-71,0,-70,0,-72,-72,-71,-70,-66,-66,-70,-69,-72,-68,-74,-68,-72,-73,-69,-69,-66,-70,-71,-65,-70,-61,-68,-65,-68,-68,-68,-70,-73,-68,-72,1.7,4.47
0,-67,0,-72,-67,-66,-63,-71,-73,-68,-72,-69,-70,-65,-68,-73,-71,-68,-69,-65,-63,-65,-71,-72,-72,-69,-72,-65,-73,-64,-67,-70,-73,-73,-70,-73,-72,-70,-73,-71,-72,-72,0,-72,-73,-73,-73,-73,-71,-69,1.26,0.69
-55,-33,0,0,0,-53,-45,-20,-20,-41,-60,-20,-53,-20,-20,-55,-63,-56,-53,-52,-60,-62,-58,-50,-67,-57,-65,-61,-65,-58,-62,-64,-68,-65,-62,-62,-64,-73,-71,-68,-71,-65,-70,-63,-69,-71,-70,-73,-69,-72,4.33,0.39
-71,-73,-70,-71,-64,-72,-73,-63,-69,0,-63,-73,-72,-67,-70,-70,-68,-59,-60,-64,-68,-69,-66,-68,-73,-64,-69,-63,0,-70,-61,-55,-68,-69,-60,-62,-63,-57,-66,-59,-67,-65,-63,-63,-63,-20,-66,-69,-66,-38,2.97,4.43
-73,-69,-73,-70,-72,-70,0,-71,-72,-73,-71,-71,-74,-69,-70,-72,-69,-67,-72,-67,-64,0,-72,-72,-71,-73,-72,-68,-72,-70,0,-68,-70,-66,-73,-67,-67,-66,-70,-71,-64,-69,-69,-71,-66,-71,-68,-69,-71,-71,1.3,3.44
-67,-71,0,-73,-67,-65,0,0,-72,-70,-73,-71,-65,-72,-73,-74,-68,-73,-71,-68,-73,-72,-71,-72,-71,-73,-69,-72,-71,-73,-73,-70,-73,-68,-72,-72,-68,-73,-69,-71,-72,-72,-71,-71,-73,-72,-72,-73,-74,-74,0.54,0.61
-63,-58,-71,-68,-65,-73,-67,-70,-63,-71,-67,-62,-60,-39,-59,-69,-68,-63,-63,-53,-67,-59,-69,-20,-60,-64,-63,0,-62,-66,-53,-55,-50,-66,-64,-55,-20,-58,-38,-51,-60,-66,-57,-58,-52,-67,-69,0,0,-59,3.39,2.72
-65,-70,-69,-70,-65,-65,-67,-70,-66,-66,-62,-62,-66,0,-64,-62,-66,-55,-64,-59,-69,-64,-65,-70,-64,-72,-63,-48,-67,-63,-64,-62,-62,-69,-74,-72,-71,-67,-71,-68,-65,-65,-71,-72,-69,-70,-72,-68,-68,-73,2.35,0.96
-65,-68,-64,-73,-64,-60,-68,-70,-72,0,-62,-66,-68,-65,-56,-65,-73,-68,-65,-61,-66,-56,-72,-66,-66,-68,-69,-66,-72,-71,-68,-61,-69,-68,-73,-68,-67,0,-67,-73,-67,-71,-71,-73,-73,-70,-74,-73,-63,-70,2.36,0.51
-68,-55,-57,-20,-67,-26,-33,-60,-58,-52,-61,-57,-63,-64,-53,-38,-20,-54,-20,-35,-60,-22,-64,-48,-50,-61,-34,-47,-59,-64,-64,-59,-65,-64,-70,-57,-64,-51,-69,-65,-56,-69,-70,-66,-66,-62,-73,-65,-70,-70,4.63,1.09
-72,-71,-73,-72,-74,-72,-74,-73,-71,-68,-67,-66,-72,-67,-72,-70,-67,-71,-70,-62,-65,-65,-72,-71,-72,-65,-65,-67,-72,-69,-58,-69,-62,-67,-60,-71,-69,-63,-61,-65,-63,-73,-68,-59,-71,-69,-63,-66,-66,-66,1.82,3.71
-74,-70,-74,-70,-65,-71,-72,-72,-70,-69,-73,-73,-71,-71,-71,-73,-66,-69,-64,-71,-72,-72,-70,-70,-68,-70,-63,-66,-67,-54,0,-69,-65,-70,-71,-73,-68,-60,-63,-69,-68,-52,-59,-72,-60,-58,-72,-60,-58,-65,2.63,4.35
